iso_timestamp,timestamp,index,uuid,name,power.draw,power.limit,utilization.gpu,utilization.memory,memory.used,memory.free,memory.total,clocks.sm,clocks.mem,clocks.gr,temperature.gpu,pstate,ecc.errors.corrected.volatile.total,ecc.errors.uncorrected.volatile.total,clocks_throttle_reasons.sw_power_cap,clocks_throttle_reasons.hw_slowdown,clocks_throttle_reasons.hw_thermal_slowdown,clocks_throttle_reasons.hw_power_brake_slowdown,clocks_throttle_reasons.sw_thermal_slowdown,clocks_throttle_reasons.sync_boost,actual_interval_ms
2026-07-30T06:19:20.553217,2026/07/30 06:19:20.494,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.06,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,124.512
2026-07-30T06:19:20.675323,2026/07/30 06:19:20.624,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.04,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,130.509
2026-07-30T06:19:20.801210,2026/07/30 06:19:20.748,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.05,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,124.124
2026-07-30T06:19:20.934486,2026/07/30 06:19:20.873,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.03,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,124.928
2026-07-30T06:19:21.061357,2026/07/30 06:19:21.007,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,193.98,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,133.088
2026-07-30T06:19:21.185540,2026/07/30 06:19:21.135,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.01,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,128.657
2026-07-30T06:19:21.311844,2026/07/30 06:19:21.257,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.01,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,122.811
2026-07-30T06:19:21.447297,2026/07/30 06:19:21.384,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.01,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,126.325
2026-07-30T06:19:21.804990,2026/07/30 06:19:21.524,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.07,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,139.205
2026-07-30T06:19:22.019285,2026/07/30 06:19:21.965,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.05,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,413.096
2026-07-30T06:19:22.149455,2026/07/30 06:19:22.090,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.06,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,154.601
2026-07-30T06:19:22.272734,2026/07/30 06:19:22.223,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.05,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,129.554
2026-07-30T06:19:22.402015,2026/07/30 06:19:22.349,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.07,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,127.594
2026-07-30T06:19:22.521664,2026/07/30 06:19:22.472,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.07,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,124.851
2026-07-30T06:19:22.649510,2026/07/30 06:19:22.592,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.07,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,119.593
2026-07-30T06:19:22.771937,2026/07/30 06:19:22.722,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.07,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,126.877
2026-07-30T06:19:22.897777,2026/07/30 06:19:22.848,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.07,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,128.766
2026-07-30T06:19:23.020598,2026/07/30 06:19:22.969,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.08,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,120.358
2026-07-30T06:19:23.154905,2026/07/30 06:19:23.095,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.07,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,125.434
2026-07-30T06:19:23.276696,2026/07/30 06:19:23.227,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.06,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,131.649
2026-07-30T06:19:23.403532,2026/07/30 06:19:23.349,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.03,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,123.218
2026-07-30T06:19:23.524962,2026/07/30 06:19:23.474,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.02,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,126.173
2026-07-30T06:19:23.653524,2026/07/30 06:19:23.596,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,193.98,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,121.325
2026-07-30T06:19:23.774750,2026/07/30 06:19:23.724,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,193.98,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,128.117
2026-07-30T06:19:23.899534,2026/07/30 06:19:23.849,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,193.97,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,124.399
2026-07-30T06:19:24.021701,2026/07/30 06:19:23.968,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,193.98,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,119.241
2026-07-30T06:19:24.142343,2026/07/30 06:19:24.091,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.01,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,123.642
2026-07-30T06:19:24.370602,2026/07/30 06:19:24.287,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,193.99,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,192.582
2026-07-30T06:19:24.492040,2026/07/30 06:19:24.440,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.04,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,157.031
2026-07-30T06:19:24.613016,2026/07/30 06:19:24.559,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.06,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,117.872
2026-07-30T06:19:24.743173,2026/07/30 06:19:24.683,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.12,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,124.196
2026-07-30T06:19:24.870774,2026/07/30 06:19:24.818,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.1,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,134.039
2026-07-30T06:19:25.004467,2026/07/30 06:19:24.949,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.12,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,131.264
2026-07-30T06:19:25.130683,2026/07/30 06:19:25.077,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.11,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,128.934
2026-07-30T06:19:25.259383,2026/07/30 06:19:25.203,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.1,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,124.676
2026-07-30T06:19:25.388887,2026/07/30 06:19:25.336,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.11,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,133.157
2026-07-30T06:19:25.513915,2026/07/30 06:19:25.463,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.12,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,127.591
2026-07-30T06:19:25.642942,2026/07/30 06:19:25.584,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.12,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,121.082
2026-07-30T06:19:25.762581,2026/07/30 06:19:25.712,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.09,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,128.088
2026-07-30T06:19:25.887056,2026/07/30 06:19:25.837,0,GPU-e5eb9962-a19e-f7b4-85d1-f4510e408752,NVIDIA B200,194.11,1000.0,0.0,0.0,0.0,182632.0,183359.0,120.0,3996.0,120.0,42.0,P0,0,0,Not Active,Not Active,Not Active,Not Active,Not Active,Not Active,124.184
