1789867856.631,334.18
1789867857.633,371.23
1789867858.635,371.03
1789867859.636,370.52
1789867860.639,371.06
1789867861.641,371.11
1789867862.643,371.34
1789867863.645,371.32
1789867864.647,371.31
1789867865.649,371.37
1789867866.650,371.31
1789867867.652,371.40
1789867868.654,371.27
1789867869.656,371.38
1789867870.657,371.36
1789867871.659,371.39
1789867872.661,371.39
1789867873.662,371.41
1789867874.664,371.34
1789867875.666,371.39
1789867876.667,371.37
1789867877.670,371.02
1789867878.672,371.31
1789867879.674,371.38
1789867880.675,371.32
1789867881.677,214.65
1789867882.679,162.67
1789867883.681,162.69
1789867884.683,162.71
1789867885.685,162.70
1789867886.687,162.66
1789867887.688,162.73
1789867888.690,162.70
1789867889.692,162.70
1789867890.694,162.69
1789867891.696,162.68
1789867892.698,162.66
1789867893.700,162.69
1789867894.702,162.69
1789867895.704,162.67
1789867896.706,162.69
1789867897.708,162.67
1789867898.710,162.71
1789867899.712,162.68
1789867900.712,270.91
1789867901.714,371.31
1789867902.716,371.36
1789867903.717,371.39
1789867904.719,371.37
1789867905.721,371.32
1789867906.722,371.37
1789867907.725,371.23
1789867908.726,371.28
1789867909.728,371.34
1789867910.731,371.13
1789867911.732,361.35
1789867912.733,370.85
1789867913.735,371.30
1789867914.736,371.34
1789867915.738,371.33
1789867916.740,371.34
1789867917.742,371.37
1789867918.743,371.36
1789867919.745,371.34
1789867920.747,371.34
