nohup: ignoring input
timestamp, index, power.draw [W], utilization.gpu [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 03:54:24.096, 1, 79.44 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 42
2026/09/25 03:54:34.096, 0, 76.20 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:54:34.098, 1, 79.42 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 42
2026/09/25 03:54:44.098, 0, 76.19 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:54:44.098, 1, 79.39 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 42
2026/09/25 03:54:54.098, 0, 76.22 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:54:54.098, 1, 79.37 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 42
2026/09/25 03:55:04.098, 0, 76.21 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:55:04.099, 1, 79.37 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 42
2026/09/25 03:55:14.099, 0, 76.19 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:55:14.099, 1, 79.35 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 42
2026/09/25 03:55:24.099, 0, 76.18 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 41
2026/09/25 03:55:24.099, 1, 79.33 W, 0 %, 1 MiB, 345 MHz, 3201 MHz, 42
2026/09/25 03:55:34.099, 0, 118.86 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 42
2026/09/25 03:55:34.099, 1, 126.18 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 03:55:44.098, 0, 118.95 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:55:44.099, 1, 126.37 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 44
2026/09/25 03:55:54.098, 0, 119.06 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:55:54.098, 1, 126.55 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:56:04.098, 0, 119.11 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:56:04.098, 1, 126.67 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:56:14.098, 0, 119.82 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:56:14.098, 1, 126.70 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:56:24.098, 0, 119.83 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:56:24.098, 1, 126.77 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:56:34.098, 0, 119.83 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:56:34.098, 1, 126.86 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:56:44.098, 0, 119.90 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:56:44.098, 1, 126.78 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:56:54.098, 0, 119.86 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:56:54.098, 1, 126.82 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:57:04.098, 0, 119.93 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:57:04.098, 1, 126.87 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:57:14.098, 0, 119.90 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:57:14.100, 1, 126.90 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:57:24.099, 0, 119.90 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:57:24.100, 1, 126.82 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:57:34.099, 0, 119.89 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:57:34.099, 1, 126.91 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:57:44.099, 0, 119.91 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:57:44.099, 1, 126.92 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:57:54.099, 0, 119.86 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:57:54.099, 1, 126.93 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
2026/09/25 03:58:04.099, 0, 119.81 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 43
2026/09/25 03:58:04.099, 1, 126.85 W, 0 %, 15878 MiB, 1980 MHz, 3201 MHz, 45
