epoch,iso,phase,interval_ms,power.draw,utilization.gpu,utilization.memory,memory.used,clocks.sm,clocks.mem,temperature.gpu
1789867860.651,2026-09-20T01:31:00.650949+00:00,baseline,29.2,645.37,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867860.68,2026-09-20T01:31:00.679669+00:00,baseline,28.7,645.37,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867860.708,2026-09-20T01:31:00.707942+00:00,baseline,28.3,645.37,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867860.739,2026-09-20T01:31:00.739296+00:00,baseline,31.4,645.0,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867860.768,2026-09-20T01:31:00.767879+00:00,baseline,28.6,645.0,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867860.798,2026-09-20T01:31:00.798033+00:00,baseline,30.2,645.0,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867860.826,2026-09-20T01:31:00.826413+00:00,baseline,28.4,645.0,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867860.855,2026-09-20T01:31:00.854932+00:00,baseline,28.5,645.11,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867860.884,2026-09-20T01:31:00.884249+00:00,baseline,29.3,645.11,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867860.913,2026-09-20T01:31:00.912564+00:00,baseline,28.3,645.11,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867860.941,2026-09-20T01:31:00.940914+00:00,baseline,28.4,645.0,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867860.969,2026-09-20T01:31:00.969380+00:00,baseline,28.5,645.0,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867860.998,2026-09-20T01:31:00.998099+00:00,baseline,28.7,645.0,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.031,2026-09-20T01:31:01.031050+00:00,baseline,33.0,645.0,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.061,2026-09-20T01:31:01.061075+00:00,baseline,30.0,644.83,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.089,2026-09-20T01:31:01.089337+00:00,baseline,28.3,644.83,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.118,2026-09-20T01:31:01.118064+00:00,baseline,28.7,644.83,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.147,2026-09-20T01:31:01.146801+00:00,baseline,28.7,644.25,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.176,2026-09-20T01:31:01.176453+00:00,baseline,29.7,644.25,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.205,2026-09-20T01:31:01.205226+00:00,baseline,28.8,644.25,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.234,2026-09-20T01:31:01.233523+00:00,baseline,28.3,644.25,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.264,2026-09-20T01:31:01.263899+00:00,baseline,30.4,644.3,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.293,2026-09-20T01:31:01.293072+00:00,baseline,29.2,644.3,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.322,2026-09-20T01:31:01.321753+00:00,baseline,28.7,644.3,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.353,2026-09-20T01:31:01.352513+00:00,baseline,30.8,642.89,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.383,2026-09-20T01:31:01.382665+00:00,baseline,30.2,642.89,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.411,2026-09-20T01:31:01.411163+00:00,baseline,28.5,642.89,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.443,2026-09-20T01:31:01.442741+00:00,baseline,31.6,642.72,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.471,2026-09-20T01:31:01.471229+00:00,baseline,28.5,642.72,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.5,2026-09-20T01:31:01.500135+00:00,baseline,28.9,642.72,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.529,2026-09-20T01:31:01.528906+00:00,baseline,28.8,642.72,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.557,2026-09-20T01:31:01.557178+00:00,baseline,28.3,642.61,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.586,2026-09-20T01:31:01.586001+00:00,baseline,28.8,642.61,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.615,2026-09-20T01:31:01.614728+00:00,baseline,28.7,642.61,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.645,2026-09-20T01:31:01.644802+00:00,baseline,30.1,642.64,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.675,2026-09-20T01:31:01.675088+00:00,baseline,30.3,642.64,99.0,5.0,884.0,1980.0,3201.0,54.0
1789867861.704,2026-09-20T01:31:01.704061+00:00,baseline,29.0,642.64,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867861.734,2026-09-20T01:31:01.734171+00:00,baseline,30.1,642.64,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867861.763,2026-09-20T01:31:01.763426+00:00,baseline,29.3,644.72,99.0,5.0,884.0,1980.0,3201.0,55.0
1789867861.792,2026-09-20T01:31:01.792046+00:00,baseline,28.6,644.72,99.0,5.0,884.0,1980.0,3201.0,55.0
