nohup: ignoring input
timestamp, index, power.draw [W], utilization.gpu [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 04:48:45.776, 0, 365.62 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 57
2026/09/25 04:48:45.776, 1, 383.76 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 60
2026/09/25 04:48:50.776, 0, 349.77 W, 10 %, 1486 MiB, 1980 MHz, 3201 MHz, 55
2026/09/25 04:48:50.776, 1, 374.14 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 55
2026/09/25 04:48:55.777, 0, 369.21 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 58
2026/09/25 04:48:55.777, 1, 387.36 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 60
2026/09/25 04:49:00.778, 0, 360.72 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 58
2026/09/25 04:49:00.778, 1, 381.07 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:49:05.778, 0, 368.90 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 58
2026/09/25 04:49:05.778, 1, 387.98 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 60
2026/09/25 04:49:10.779, 0, 369.99 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 58
2026/09/25 04:49:10.779, 1, 389.25 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:49:15.779, 0, 356.26 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 58
2026/09/25 04:49:15.779, 1, 375.61 W, 36 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:49:20.780, 0, 369.72 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 58
2026/09/25 04:49:20.780, 1, 388.98 W, 62 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:49:25.780, 0, 369.86 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:49:25.780, 1, 389.19 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:49:30.781, 0, 366.17 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:49:30.781, 1, 386.98 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:49:35.782, 0, 370.23 W, 63 %, 1486 MiB, 1980 MHz, 3201 MHz, 58
2026/09/25 04:49:35.782, 1, 389.61 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:49:40.782, 0, 370.38 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:49:40.782, 1, 389.96 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:49:45.783, 0, 370.26 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:49:45.783, 1, 389.71 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:49:50.783, 0, 370.59 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 57
2026/09/25 04:49:50.783, 1, 385.10 W, 23 %, 1486 MiB, 1980 MHz, 3201 MHz, 60
2026/09/25 04:49:55.784, 0, 370.59 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:49:55.784, 1, 384.11 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:50:00.784, 0, 370.16 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:50:00.784, 1, 384.09 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:50:05.785, 0, 370.40 W, 23 %, 1486 MiB, 1980 MHz, 3201 MHz, 58
2026/09/25 04:50:05.785, 1, 384.28 W, 36 %, 1486 MiB, 1980 MHz, 3201 MHz, 60
2026/09/25 04:50:10.785, 0, 370.73 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:50:10.785, 1, 384.17 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:50:15.786, 0, 370.29 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:50:15.786, 1, 383.85 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:50:20.786, 0, 370.95 W, 55 %, 1486 MiB, 1980 MHz, 3201 MHz, 58
2026/09/25 04:50:20.787, 1, 384.11 W, 87 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:50:25.788, 0, 370.63 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:50:25.788, 1, 384.51 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:50:30.789, 0, 348.66 W, 50 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:50:30.789, 1, 362.12 W, 92 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:50:35.789, 0, 371.04 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:50:35.790, 1, 384.13 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:50:40.790, 0, 353.84 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 55
2026/09/25 04:50:40.790, 1, 374.80 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:50:45.791, 0, 360.89 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:50:45.791, 1, 375.61 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:50:50.791, 0, 355.07 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:50:50.792, 1, 368.09 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 61
2026/09/25 04:50:55.792, 0, 331.28 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 53
2026/09/25 04:50:55.792, 1, 351.60 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 55
2026/09/25 04:51:00.793, 0, 340.15 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 57
2026/09/25 04:51:00.793, 1, 359.38 W, 71 %, 1486 MiB, 1980 MHz, 3201 MHz, 60
2026/09/25 04:51:05.793, 0, 333.71 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 57
2026/09/25 04:51:05.793, 1, 352.33 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 60
2026/09/25 04:51:10.794, 0, 327.10 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 57
2026/09/25 04:51:10.794, 1, 342.71 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:51:15.794, 0, 318.42 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 57
2026/09/25 04:51:15.794, 1, 335.28 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 59
2026/09/25 04:51:20.795, 0, 310.74 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 55
2026/09/25 04:51:20.795, 1, 325.78 W, 10 %, 1486 MiB, 1980 MHz, 3201 MHz, 58
2026/09/25 04:51:25.795, 0, 313.21 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 50
2026/09/25 04:51:25.795, 1, 332.00 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 52
2026/09/25 04:51:30.796, 0, 305.18 W, 77 %, 1486 MiB, 1980 MHz, 3201 MHz, 52
2026/09/25 04:51:30.796, 1, 324.91 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 53
2026/09/25 04:51:35.796, 0, 285.06 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 55
2026/09/25 04:51:35.796, 1, 298.86 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 58
2026/09/25 04:51:40.796, 0, 302.87 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 49
2026/09/25 04:51:40.797, 1, 317.35 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 51
2026/09/25 04:51:45.797, 0, 263.51 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 55
2026/09/25 04:51:45.797, 1, 276.37 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 58
2026/09/25 04:51:50.797, 0, 288.21 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 49
2026/09/25 04:51:50.798, 1, 305.10 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 51
2026/09/25 04:51:55.798, 0, 245.73 W, 58 %, 1486 MiB, 1980 MHz, 3201 MHz, 53
2026/09/25 04:51:55.798, 1, 257.85 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 54
2026/09/25 04:52:00.798, 0, 232.96 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 54
2026/09/25 04:52:00.799, 1, 247.39 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 56
2026/09/25 04:52:05.799, 0, 274.02 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 54
2026/09/25 04:52:05.799, 1, 290.16 W, 100 %, 1486 MiB, 1980 MHz, 3201 MHz, 56
2026/09/25 04:52:10.799, 0, 271.37 W, 91 %, 1486 MiB, 1980 MHz, 3201 MHz, 49
2026/09/25 04:52:10.799, 1, 284.41 W, 34 %, 1486 MiB, 1980 MHz, 3201 MHz, 51
2026/09/25 04:52:15.800, 0, 266.17 W, 39 %, 1486 MiB, 1980 MHz, 3201 MHz, 48
2026/09/25 04:52:15.800, 1, 278.89 W, 0 %, 1486 MiB, 1980 MHz, 3201 MHz, 50
