1785388652.434,426.78
1785388653.435,414.73
1785388654.437,449.19
1785388655.437,449.71
1785388656.438,437.76
1785388657.439,453.30
1785388658.440,453.85
1785388659.441,454.41
1785388660.441,439.79
1785388661.444,455.05
1785388662.445,413.51
1785388663.445,311.90
1785388664.446,455.72
1785388665.447,456.25
1785388666.448,429.55
1785388667.449,455.78
1785388668.450,455.53
1785388669.451,456.41
1785388670.451,423.99
1785388671.451,453.88
1785388672.452,456.57
1785388673.454,377.29
1785388674.454,444.96
1785388675.456,409.41
1785388676.457,364.62
1785388677.460,385.98
1785388678.462,199.57
1785388679.466,200.11
1785388680.469,194.38
1785388681.473,172.45
1785388682.474,159.72
1785388683.475,189.94
1785388684.475,157.97
1785388685.476,197.83
1785388686.476,197.85
1785388687.478,195.63
1785388688.479,137.88
1785388689.481,199.58
1785388690.484,193.46
1785388691.485,187.79
1785388692.490,200.01
1785388693.495,200.02
1785388694.497,198.68
1785388695.502,200.01
1785388696.502,168.93
1785388697.502,441.89
1785388698.503,443.88
1785388699.503,449.99
1785388700.503,450.93
1785388701.504,451.57
1785388702.506,451.09
1785388703.507,453.57
1785388704.508,438.48
1785388705.509,453.57
1785388706.511,455.08
1785388707.512,383.37
1785388708.513,454.74
1785388709.514,453.42
1785388710.516,453.17
1785388711.517,451.79
1785388712.518,393.52
1785388713.518,455.96
1785388714.520,455.20
1785388715.520,415.87
1785388716.520,444.86
1785388717.522,372.42
