timestamp,gpu_index,power_watts,temp_c,gpu_util,vram_used_mb,sm_clock_mhz,mem_clock_mhz,pcie_gen,ecc_corrected_total,ecc_uncorrectable_total
2026-09-20T00:36:31.983364+00:00,0,78.62,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:31.983364+00:00,1,78.23,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:31.983364+00:00,2,77.76,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:31.983364+00:00,3,78.37,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:33.057735+00:00,0,78.64,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:33.057735+00:00,1,78.21,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:33.057735+00:00,2,77.77,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:33.057735+00:00,3,78.4,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:34.131472+00:00,0,78.64,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:34.131472+00:00,1,78.23,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:34.131472+00:00,2,77.76,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:34.131472+00:00,3,78.32,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:35.206025+00:00,0,78.62,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:35.206025+00:00,1,78.24,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:35.206025+00:00,2,77.78,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:35.206025+00:00,3,78.41,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:36.278661+00:00,0,78.68,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:36.278661+00:00,1,78.23,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:36.278661+00:00,2,77.76,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:36.278661+00:00,3,78.32,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:37.351141+00:00,0,78.62,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:37.351141+00:00,1,78.21,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:37.351141+00:00,2,77.75,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:37.351141+00:00,3,78.41,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:38.426113+00:00,0,78.67,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:38.426113+00:00,1,78.22,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:38.426113+00:00,2,77.75,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:38.426113+00:00,3,78.39,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:39.498086+00:00,0,78.64,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:39.498086+00:00,1,78.21,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:39.498086+00:00,2,77.76,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:39.498086+00:00,3,78.31,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:40.569916+00:00,0,78.63,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:40.569916+00:00,1,78.22,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:40.569916+00:00,2,77.78,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:40.569916+00:00,3,78.42,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:41.641970+00:00,0,78.58,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:41.641970+00:00,1,78.21,39.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:41.641970+00:00,2,77.76,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:41.641970+00:00,3,78.39,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:42.714694+00:00,0,78.6,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:42.714694+00:00,1,78.2,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:42.714694+00:00,2,77.76,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:42.714694+00:00,3,78.4,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:43.788576+00:00,0,78.58,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:43.788576+00:00,1,78.16,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:43.788576+00:00,2,77.74,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:43.788576+00:00,3,78.39,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:44.871241+00:00,0,78.61,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:44.871241+00:00,1,78.14,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:44.871241+00:00,2,77.75,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:44.871241+00:00,3,78.46,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:45.950713+00:00,0,78.55,32.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:45.950713+00:00,1,78.16,38.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:45.950713+00:00,2,77.75,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
2026-09-20T00:36:45.950713+00:00,3,78.43,35.0,0.0,1.0,345.0,3201.0,5.0,0.0,0.0
